Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:46:46.111294,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453100675,4095817247
2024-11-04 19:46:46.111535,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2198082299,2661846012
2024-11-04 19:46:46.111668,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,181674524,2860364662
2024-11-04 19:46:46.111800,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,141427782,3033336729
2024-11-04 19:46:46.112407,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2860372745,181674524
2024-11-04 19:46:46.112407,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4095825280,3453100675
2024-11-04 19:46:46.112407,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2661855799,2198082299
2024-11-04 19:46:46.112715,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1847987801,3524830581
2024-11-04 19:46:46.112740,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3033344019,141427782
2024-11-04 19:46:46.112963,74,10.5.1.30,54654,23.211.5.250,80,TCP,0,0,3944450328,0
2024-11-04 19:46:46.113556,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3524838609,1847987801
2024-11-04 19:46:46.113559,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,141427784,3033344019
2024-11-04 19:46:46.113925,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,1,3453100678,4095825280
2024-11-04 19:46:46.114144,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1847987803,3524838609
2024-11-04 19:46:46.114436,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1073,3033344021,141427784
2024-11-04 19:46:46.114504,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1073,4095825282,3453100678
2024-11-04 19:46:46.114843,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3524838611,1847987803
2024-11-04 19:46:46.114931,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1,3453100679,4095825282
2024-11-04 19:46:46.115425,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1609,4095825283,3453100679
2024-11-04 19:46:46.115813,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,1,1847987805,3524838611
2024-11-04 19:46:46.115884,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1,141427787,3033344021
