Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:07:37.131678,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360640677,2475804882
2024-11-04 12:07:37.131857,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475815219,360640677
2024-11-04 12:07:37.132020,74,10.5.1.30,46868,200.147.35.149,80,TCP,0,0,4107138362,0
2024-11-04 12:07:37.362229,74,200.147.35.149,80,10.5.1.30,46868,TCP,0,1,4141604239,4107138362
2024-11-04 12:07:37.362432,66,10.5.1.30,46868,200.147.35.149,80,TCP,1,1,4107138592,4141604239
2024-11-04 12:07:37.362551,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475815450,360640677
2024-11-04 12:07:37.368699,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360640914,2475815450
2024-11-04 12:07:37.368966,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475815456,360640914
2024-11-04 12:07:37.369166,140,10.5.1.30,46868,200.147.35.149,80,TCP,1,1,4107138599,4141604239
2024-11-04 12:07:37.597106,220,200.147.35.149,80,10.5.1.30,46868,TCP,1,75,4141604474,4107138599
2024-11-04 12:07:37.597298,66,10.5.1.30,46868,200.147.35.149,80,TCP,75,155,4107138827,4141604474
2024-11-04 12:07:37.597480,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475815684,360640914
2024-11-04 12:07:37.599287,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1073,360641144,2475815684
2024-11-04 12:07:37.599520,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,1609,2475815686,360641144
