Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:22:25.663990,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,132767335,3024682583
2024-11-04 17:22:25.664046,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024683571,132767335
2024-11-04 17:22:25.664184,74,10.5.1.30,43166,109.206.171.6,80,TCP,0,0,1266069462,0
2024-11-04 17:22:25.705583,74,109.206.171.6,80,10.5.1.30,43166,TCP,0,1,1905080640,1266069462
2024-11-04 17:22:25.705635,66,10.5.1.30,43166,109.206.171.6,80,TCP,1,1,1266069503,1905080640
2024-11-04 17:22:25.705720,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3024683612,132767335
2024-11-04 17:22:25.711065,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,132767382,3024683612
2024-11-04 17:22:25.711145,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024683618,132767382
2024-11-04 17:22:25.711212,141,10.5.1.30,43166,109.206.171.6,80,TCP,1,1,1266069509,1905080640
2024-11-04 17:22:25.750322,66,109.206.171.6,80,10.5.1.30,43166,TCP,1,76,1905080687,1266069509
2024-11-04 17:22:25.750407,454,109.206.171.6,80,10.5.1.30,43166,TCP,1,76,1905080688,1266069509
2024-11-04 17:22:25.750428,66,10.5.1.30,43166,109.206.171.6,80,TCP,76,389,1266069548,1905080688
2024-11-04 17:22:25.750527,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3024683657,132767382
2024-11-04 17:22:25.753495,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,132767424,3024683657
2024-11-04 17:22:25.753591,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3024683660,132767424
2024-11-04 17:22:25.753692,66,10.5.1.30,43166,109.206.171.6,80,TCP,76,389,1266069551,1905080688
2024-11-04 17:22:25.793305,66,109.206.171.6,80,10.5.1.30,43166,TCP,389,77,1905080731,1266069551
2024-11-04 17:22:25.793351,66,10.5.1.30,43166,109.206.171.6,80,TCP,77,390,1266069591,1905080731
2024-11-04 17:22:26.992191,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,173015405,2851710637
2024-11-04 17:22:27.036403,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2851713669,173015405
2024-11-04 17:22:27.253699,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,173015666,2851713669
2024-11-04 17:22:27.253761,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2851713886,173015666
2024-11-04 17:22:27.263399,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1,173015676,2851713886
2024-11-04 17:22:27.263432,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2851713896,173015676
2024-11-04 17:22:27.263702,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2851713896,173015676
2024-11-04 17:22:27.263741,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,173015676,2851713896
2024-11-04 17:22:27.684885,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,173016098,2851713896
2024-11-04 17:22:27.684951,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3444442249,4087150076
2024-11-04 17:22:27.726412,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,2145,2851714359,173016098
2024-11-04 17:22:27.726412,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4087166894,3444442249
2024-11-04 17:22:27.916879,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,537,173016330,2851714359
2024-11-04 17:22:27.916959,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,2681,2851714550,173016330
2024-11-04 17:22:28.617936,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3024686525,132767424
2024-11-04 17:22:28.659756,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1609,132770330,3024686525
2024-11-04 17:22:28.685952,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1609,132770357,3024686525
2024-11-04 17:22:28.685993,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,2145,3024686593,132770357
2024-11-04 17:22:29.620960,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2218678612,3149441461
2024-11-04 17:22:29.621029,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3149739989,2218678612
2024-11-04 17:22:29.621346,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3149739989,2218678612
2024-11-04 17:22:29.621401,66,10.5.1.20,56104,10.5.1.30,9001,TCP,537,537,2218678612,3149739989
2024-11-04 17:22:30.257780,602,10.5.1.23,40252,10.5.1.30,9001,TCP,1,1,2189426445,2652905187
2024-11-04 17:22:30.257872,66,10.5.1.30,9001,10.5.1.23,40252,TCP,1,537,2653199945,2189426445
2024-11-04 17:22:30.257982,602,10.5.1.23,40280,10.5.1.30,9001,TCP,1,1,2189426446,2652900696
2024-11-04 17:22:30.258022,66,10.5.1.30,9001,10.5.1.23,40280,TCP,1,537,2653199945,2189426446
2024-11-04 17:22:30.622522,602,10.5.1.30,9001,10.5.1.20,56090,TCP,1,1,3149740990,2218379368
2024-11-04 17:22:30.622600,602,10.5.1.30,9001,10.5.1.22,44074,TCP,1,1,285032746,1299639691
2024-11-04 17:22:30.622644,602,10.5.1.30,50248,10.5.1.23,9001,TCP,1,1,2653200309,2189153691
2024-11-04 17:22:30.622688,66,10.5.1.23,9001,10.5.1.30,50248,TCP,1,537,2189426810,2653200309
2024-11-04 17:22:30.622720,602,10.5.1.30,9001,10.5.1.20,56100,TCP,1,1,3149740990,2218379891
2024-11-04 17:22:30.622757,602,10.5.1.30,9001,10.5.1.23,40280,TCP,1,537,2653200309,2189426446
2024-11-04 17:22:30.622799,602,10.5.1.30,9001,10.5.1.22,44084,TCP,1,1,285032747,1299640285
2024-11-04 17:22:30.622836,602,10.5.1.30,9001,10.5.1.20,56102,TCP,1,1,3149740991,2218380002
2024-11-04 17:22:30.666453,66,10.5.1.20,56102,10.5.1.30,9001,TCP,1,537,2218679657,3149740991
2024-11-04 17:22:30.666485,66,10.5.1.22,44084,10.5.1.30,9001,TCP,1,537,1299939977,285032747
2024-11-04 17:22:30.666503,66,10.5.1.23,40280,10.5.1.30,9001,TCP,537,537,2189426854,2653200309
2024-11-04 17:22:30.666518,66,10.5.1.20,56100,10.5.1.30,9001,TCP,1,537,2218679657,3149740990
2024-11-04 17:22:30.666533,66,10.5.1.22,44074,10.5.1.30,9001,TCP,1,537,1299939977,285032746
2024-11-04 17:22:30.666545,66,10.5.1.20,56090,10.5.1.30,9001,TCP,1,537,2218679657,3149740990
2024-11-04 17:22:30.686528,602,10.5.1.21,54570,10.5.1.30,9001,TCP,1,1,1839332375,3515887662
2024-11-04 17:22:30.686566,66,10.5.1.30,9001,10.5.1.21,54570,TCP,1,537,3516183182,1839332375
2024-11-04 17:22:30.688827,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,537,173019102,2851714550
2024-11-04 17:22:30.688858,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,3217,2851717322,173019102
2024-11-04 17:22:30.688971,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,1609,132772360,3024686593
2024-11-04 17:22:30.689066,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,2681,3024688596,132772360
2024-11-04 17:22:30.700400,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2681,1609,132772371,3024688596
2024-11-04 17:22:30.700461,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,3217,3024688607,132772371
2024-11-04 17:22:30.701080,1116,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,3217,3024688608,132772371
2024-11-04 17:22:30.701180,66,10.5.1.11,42168,10.5.1.30,9001,TCP,3217,2659,132772372,3024688608
2024-11-04 17:22:30.920429,602,10.5.1.22,44074,10.5.1.30,9001,TCP,1,537,1299940231,285032746
2024-11-04 17:22:30.920477,66,10.5.1.30,9001,10.5.1.22,44074,TCP,537,537,285033044,1299940231
2024-11-04 17:22:30.920591,602,10.5.1.22,44084,10.5.1.30,9001,TCP,1,537,1299940231,285032747
2024-11-04 17:22:30.920611,66,10.5.1.30,9001,10.5.1.22,44084,TCP,537,537,285033044,1299940231
2024-11-04 17:22:30.994917,602,10.5.1.20,56090,10.5.1.30,9001,TCP,1,537,2218679986,3149740990
2024-11-04 17:22:30.994989,66,10.5.1.30,9001,10.5.1.20,56090,TCP,537,537,3149741363,2218679986
2024-11-04 17:22:30.995151,602,10.5.1.20,56100,10.5.1.30,9001,TCP,1,537,2218679986,3149740990
2024-11-04 17:22:30.995190,66,10.5.1.30,9001,10.5.1.20,56100,TCP,537,537,3149741363,2218679986
2024-11-04 17:22:31.996457,602,10.5.1.20,56102,10.5.1.30,9001,TCP,1,537,2218680987,3149740991
2024-11-04 17:22:31.996508,66,10.5.1.30,9001,10.5.1.20,56102,TCP,537,537,3149742364,2218680987
