Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:38:13.401895,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3448987966,4091702082
2024-11-04 18:38:13.402221,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091712570,3448987966
2024-11-04 18:38:13.402409,74,10.5.1.30,38518,34.160.205.245,80,TCP,0,0,3814217664,0
2024-11-04 18:38:13.580609,74,34.160.205.245,80,10.5.1.30,38518,TCP,0,1,3697415634,3814217664
2024-11-04 18:38:13.580927,66,10.5.1.30,38518,34.160.205.245,80,TCP,1,1,3814217843,3697415634
2024-11-04 18:38:13.581193,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091712749,3448987966
2024-11-04 18:38:13.583629,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3448988147,4091712749
2024-11-04 18:38:13.583981,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091712752,3448988147
2024-11-04 18:38:13.584142,149,10.5.1.30,38518,34.160.205.245,80,TCP,1,1,3814217846,3697415634
2024-11-04 18:38:13.750225,66,34.160.205.245,80,10.5.1.30,38518,TCP,1,84,3697415822,3814217846
2024-11-04 18:38:13.750601,264,34.160.205.245,80,10.5.1.30,38518,TCP,1,84,3697415823,3814217846
2024-11-04 18:38:13.750757,66,10.5.1.30,38518,34.160.205.245,80,TCP,84,199,3814218012,3697415823
2024-11-04 18:38:13.751021,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091712919,3448988147
2024-11-04 18:38:13.756800,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3448988320,4091712919
2024-11-04 18:38:13.757439,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4091712925,3448988320
2024-11-04 18:38:13.757722,66,10.5.1.30,38518,34.160.205.245,80,TCP,84,199,3814218019,3697415823
2024-11-04 18:38:13.891556,66,34.160.205.245,80,10.5.1.30,38518,TCP,199,85,3697415990,3814218019
2024-11-04 18:38:13.891871,66,10.5.1.30,38518,34.160.205.245,80,TCP,85,200,3814218154,3697415990
