Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:31:31.857491,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005748459,2445324720
2024-11-04 12:31:31.857970,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445335216,3005748459
2024-11-04 12:31:31.858353,74,10.5.1.30,37778,152.195.33.23,80,TCP,0,0,3313456234,0
2024-11-04 12:31:31.972322,74,152.195.33.23,80,10.5.1.30,37778,TCP,0,1,1140877479,3313456234
2024-11-04 12:31:31.972640,66,10.5.1.30,37778,152.195.33.23,80,TCP,1,1,3313456349,1140877479
2024-11-04 12:31:31.972759,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445335331,3005748459
2024-11-04 12:31:31.977762,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3005748580,2445335331
2024-11-04 12:31:31.977923,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445335336,3005748580
2024-11-04 12:31:31.978110,138,10.5.1.30,37778,152.195.33.23,80,TCP,1,1,3313456354,1140877479
2024-11-04 12:31:32.094926,66,152.195.33.23,80,10.5.1.30,37778,TCP,1,73,1140877602,3313456354
2024-11-04 12:31:32.097135,312,152.195.33.23,80,10.5.1.30,37778,TCP,1,73,1140877605,3313456354
2024-11-04 12:31:32.097432,66,10.5.1.30,37778,152.195.33.23,80,TCP,73,247,3313456473,1140877605
2024-11-04 12:31:32.097759,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445335456,3005748580
2024-11-04 12:31:32.101485,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1073,3005748703,2445335456
2024-11-04 12:31:32.101853,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,1609,2445335460,3005748703
2024-11-04 12:31:32.102058,66,10.5.1.30,37778,152.195.33.23,80,TCP,73,247,3313456478,1140877605
2024-11-04 12:31:32.214675,66,152.195.33.23,80,10.5.1.30,37778,TCP,247,74,1140877722,3313456478
2024-11-04 12:31:32.215024,66,10.5.1.30,37778,152.195.33.23,80,TCP,74,248,3313456591,1140877722
2024-11-04 12:31:38.118096,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4287397068,586514277
2024-11-04 12:31:38.118328,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,362081663,2477228341
2024-11-04 12:31:38.118535,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,586542308,4287397068
2024-11-04 12:31:38.118558,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477256206,362081663
2024-11-04 12:31:38.122815,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,1,362081668,2477256206
2024-11-04 12:31:38.123127,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1073,2477256210,362081668
2024-11-04 12:31:38.127640,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1609,1073,3005754730,2445335460
2024-11-04 12:31:38.127644,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,1,362081673,2477256210
2024-11-04 12:31:38.127924,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,2145,2445341486,3005754730
2024-11-04 12:31:38.127935,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1609,2477256215,362081673
2024-11-04 12:31:38.128449,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,2145,2445341486,3005754730
2024-11-04 12:31:38.130762,1116,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134821365,3961845800
2024-11-04 12:31:38.130995,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1609,2477256218,362081673
2024-11-04 12:31:38.131065,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,1051,3961873740,3134821365
2024-11-04 12:31:38.134773,1116,10.5.1.30,9001,10.5.1.11,34324,TCP,1,1051,3961873744,3134821365
2024-11-04 12:31:38.137444,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1609,537,362081682,2477256218
2024-11-04 12:31:38.137707,602,10.5.1.30,9001,10.5.1.10,33616,TCP,537,2145,2477256225,362081682
2024-11-04 12:31:38.144652,602,10.5.1.12,57406,10.5.1.30,9001,TCP,2145,1609,3005754747,2445341486
2024-11-04 12:31:38.144934,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1609,2681,2445341503,3005754747
2024-11-04 12:31:38.148082,1116,10.5.1.11,34324,10.5.1.30,9001,TCP,1051,1051,3134821382,3961873744
2024-11-04 12:31:38.148167,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2145,1073,362081693,2477256225
2024-11-04 12:31:38.148708,1116,10.5.1.30,9001,10.5.1.11,34324,TCP,1051,2101,3961873758,3134821382
2024-11-04 12:31:38.158283,602,10.5.1.12,57406,10.5.1.30,9001,TCP,2681,2145,3005754760,2445341503
2024-11-04 12:31:38.161325,1116,10.5.1.11,34324,10.5.1.30,9001,TCP,2101,2101,3134821395,3961873758
2024-11-04 12:31:38.165022,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1185714298,1186226671
2024-11-04 12:31:38.165333,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1186254749,1185714298
2024-11-04 12:31:38.165929,602,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1186254750,1185714298
2024-11-04 12:31:38.168204,602,10.5.1.22,52376,10.5.1.30,9001,TCP,537,537,1185714301,1186254750
2024-11-04 12:31:38.190630,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,2681,2477256278,362081693
2024-11-04 12:31:38.190982,602,10.5.1.10,33616,10.5.1.30,9001,TCP,2681,1073,362081736,2477256278
2024-11-04 12:31:38.191133,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,3217,2477256278,362081736
2024-11-04 12:31:38.191825,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1073,3217,2477256279,362081736
2024-11-04 12:31:38.194742,602,10.5.1.10,33616,10.5.1.30,9001,TCP,3217,1609,362081740,2477256279
2024-11-04 12:31:38.200600,66,10.5.1.30,9001,10.5.1.12,57406,TCP,2145,3217,2445341559,3005754760
2024-11-04 12:31:38.200773,602,10.5.1.12,57406,10.5.1.30,9001,TCP,3217,2145,3005754803,2445341559
2024-11-04 12:31:38.200944,66,10.5.1.30,9001,10.5.1.12,57406,TCP,2145,3753,2445341559,3005754803
2024-11-04 12:31:38.201355,602,10.5.1.30,9001,10.5.1.12,57406,TCP,2145,3753,2445341559,3005754803
2024-11-04 12:31:38.203252,602,10.5.1.12,57406,10.5.1.30,9001,TCP,3753,2681,3005754805,2445341559
2024-11-04 12:31:38.203942,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2101,3151,3961873813,3134821395
2024-11-04 12:31:38.210628,66,10.5.1.30,9001,10.5.1.22,52376,TCP,537,1073,1186254795,1185714301
2024-11-04 12:31:38.237288,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1609,3753,2477256324,362081740
2024-11-04 12:31:38.243934,66,10.5.1.30,9001,10.5.1.12,57406,TCP,2681,4289,2445341602,3005754805
2024-11-04 12:31:38.244333,602,10.5.1.21,39736,10.5.1.30,9001,TCP,537,1,4287397194,586542308
2024-11-04 12:31:38.244579,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1073,586542434,4287397194
2024-11-04 12:31:38.245108,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1,1073,586542434,4287397194
2024-11-04 12:31:38.248710,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1073,537,4287397199,586542434
2024-11-04 12:31:38.249532,602,10.5.1.12,57406,10.5.1.30,9001,TCP,4289,2681,3005754852,2445341602
2024-11-04 12:31:38.249748,66,10.5.1.30,9001,10.5.1.12,57406,TCP,2681,4825,2445341608,3005754852
2024-11-04 12:31:38.250459,602,10.5.1.30,9001,10.5.1.12,57406,TCP,2681,4825,2445341608,3005754852
2024-11-04 12:31:38.254859,602,10.5.1.12,57406,10.5.1.30,9001,TCP,4825,3217,3005754857,2445341608
2024-11-04 12:31:38.290613,66,10.5.1.30,9001,10.5.1.21,39736,TCP,537,1609,586542480,4287397199
2024-11-04 12:31:38.297263,66,10.5.1.30,9001,10.5.1.12,57406,TCP,3217,5361,2445341655,3005754857
2024-11-04 12:31:38.610937,602,10.5.1.12,57406,10.5.1.30,9001,TCP,5361,3217,3005755213,2445341655
2024-11-04 12:31:38.610957,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1073,537,1185714744,1186254795
2024-11-04 12:31:38.611379,66,10.5.1.30,9001,10.5.1.12,57406,TCP,3217,5897,2445341969,3005755213
2024-11-04 12:31:38.611601,66,10.5.1.30,9001,10.5.1.22,52376,TCP,537,1609,1186255196,1185714744
2024-11-04 12:31:38.612239,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1609,537,4287397562,586542480
2024-11-04 12:31:38.612561,66,10.5.1.30,9001,10.5.1.21,39736,TCP,537,2145,586542802,4287397562
2024-11-04 12:31:38.620940,602,10.5.1.12,57406,10.5.1.30,9001,TCP,5897,3217,3005755223,2445341969
2024-11-04 12:31:38.621200,66,10.5.1.30,9001,10.5.1.12,57406,TCP,3217,6433,2445341979,3005755223
2024-11-04 12:31:38.621739,602,10.5.1.30,9001,10.5.1.12,57406,TCP,3217,6433,2445341980,3005755223
2024-11-04 12:31:38.622811,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1609,537,1185714756,1186255196
2024-11-04 12:31:38.623219,66,10.5.1.30,9001,10.5.1.22,52376,TCP,537,2145,1186255207,1185714756
2024-11-04 12:31:38.624299,602,10.5.1.30,9001,10.5.1.22,52376,TCP,537,2145,1186255208,1185714756
2024-11-04 12:31:38.628030,602,10.5.1.12,57406,10.5.1.30,9001,TCP,6433,3753,3005755230,2445341980
2024-11-04 12:31:38.628053,602,10.5.1.10,33616,10.5.1.30,9001,TCP,3753,1609,362082173,2477256324
2024-11-04 12:31:38.628245,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1609,4289,2477256715,362082173
2024-11-04 12:31:38.628448,602,10.5.1.30,9001,10.5.1.12,57406,TCP,3753,6969,2445341986,3005755230
2024-11-04 12:31:38.631016,602,10.5.1.22,52376,10.5.1.30,9001,TCP,2145,1073,1185714764,1186255208
2024-11-04 12:31:38.631100,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1609,4289,2477256718,362082173
2024-11-04 12:31:38.634780,602,10.5.1.30,9001,10.5.1.22,52376,TCP,1073,2681,1186255219,1185714764
2024-11-04 12:31:38.637797,602,10.5.1.12,57406,10.5.1.30,9001,TCP,6969,4289,3005755240,2445341986
2024-11-04 12:31:38.641358,602,10.5.1.22,52376,10.5.1.30,9001,TCP,2681,1609,1185714774,1186255219
2024-11-04 12:31:38.644564,602,10.5.1.10,33616,10.5.1.30,9001,TCP,4289,2145,362082190,2477256718
2024-11-04 12:31:38.645257,602,10.5.1.30,9001,10.5.1.10,33616,TCP,2145,4825,2477256732,362082190
2024-11-04 12:31:38.658124,602,10.5.1.10,33616,10.5.1.30,9001,TCP,4825,2681,362082203,2477256732
2024-11-04 12:31:38.680612,66,10.5.1.30,9001,10.5.1.12,57406,TCP,4289,7505,2445342039,3005755240
2024-11-04 12:31:38.680923,602,10.5.1.12,57406,10.5.1.30,9001,TCP,7505,4289,3005755283,2445342039
2024-11-04 12:31:38.681070,66,10.5.1.30,9001,10.5.1.12,57406,TCP,4289,8041,2445342039,3005755283
2024-11-04 12:31:38.681775,602,10.5.1.30,9001,10.5.1.12,57406,TCP,4289,8041,2445342040,3005755283
2024-11-04 12:31:38.683949,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1609,3217,1186255268,1185714774
2024-11-04 12:31:38.684819,602,10.5.1.12,57406,10.5.1.30,9001,TCP,8041,4825,3005755287,2445342040
2024-11-04 12:31:38.685117,602,10.5.1.30,9001,10.5.1.12,57406,TCP,4825,8577,2445342043,3005755287
2024-11-04 12:31:38.691227,602,10.5.1.12,57406,10.5.1.30,9001,TCP,8577,5361,3005755293,2445342043
2024-11-04 12:31:38.703943,66,10.5.1.30,9001,10.5.1.10,33616,TCP,2681,5361,2477256791,362082203
2024-11-04 12:31:38.733941,66,10.5.1.30,9001,10.5.1.12,57406,TCP,5361,9113,2445342092,3005755293
2024-11-04 12:31:39.131047,602,10.5.1.12,57406,10.5.1.30,9001,TCP,9113,5361,3005755733,2445342092
2024-11-04 12:31:39.131166,602,10.5.1.10,33616,10.5.1.30,9001,TCP,5361,2681,362082676,2477256791
2024-11-04 12:31:39.131385,66,10.5.1.30,9001,10.5.1.12,57406,TCP,5361,9649,2445342489,3005755733
2024-11-04 12:31:39.131465,66,10.5.1.30,9001,10.5.1.10,33616,TCP,2681,5897,2477257218,362082676
2024-11-04 12:31:39.132022,602,10.5.1.30,9001,10.5.1.12,57406,TCP,5361,9649,2445342490,3005755733
2024-11-04 12:31:39.134647,602,10.5.1.30,9001,10.5.1.10,33616,TCP,2681,5897,2477257222,362082676
2024-11-04 12:31:39.141218,602,10.5.1.12,57406,10.5.1.30,9001,TCP,9649,5897,3005755743,2445342490
2024-11-04 12:31:39.141266,602,10.5.1.10,33616,10.5.1.30,9001,TCP,5897,3217,362082686,2477257222
2024-11-04 12:31:39.141479,602,10.5.1.30,9001,10.5.1.12,57406,TCP,5897,10185,2445342499,3005755743
2024-11-04 12:31:39.144963,602,10.5.1.30,9001,10.5.1.10,33616,TCP,3217,6433,2477257232,362082686
2024-11-04 12:31:39.147707,602,10.5.1.12,57406,10.5.1.30,9001,TCP,10185,6433,3005755750,2445342499
2024-11-04 12:31:39.151382,602,10.5.1.10,33616,10.5.1.30,9001,TCP,6433,3753,362082696,2477257232
2024-11-04 12:31:39.164076,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1,1,1997346645,3730106534
2024-11-04 12:31:39.164332,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1,537,3730135541,1997346645
2024-11-04 12:31:39.164460,602,10.5.1.21,39736,10.5.1.30,9001,TCP,2145,537,4287398114,586542802
2024-11-04 12:31:39.164808,602,10.5.1.11,34324,10.5.1.30,9001,TCP,3151,2101,3134822399,3961873813
2024-11-04 12:31:39.164938,66,10.5.1.30,9001,10.5.1.21,39736,TCP,537,2681,586543354,4287398114
2024-11-04 12:31:39.165250,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2101,3687,3961874774,3134822399
2024-11-04 12:31:39.172152,602,10.5.1.21,39736,10.5.1.30,9001,TCP,2681,537,4287398122,586543354
2024-11-04 12:31:39.172432,66,10.5.1.30,9001,10.5.1.21,39736,TCP,537,3217,586543361,4287398122
2024-11-04 12:31:39.172935,602,10.5.1.30,9001,10.5.1.21,39736,TCP,537,3217,586543362,4287398122
2024-11-04 12:31:39.184361,602,10.5.1.21,39736,10.5.1.30,9001,TCP,3217,1073,4287398134,586543362
2024-11-04 12:31:39.184731,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1073,3753,586543374,4287398134
2024-11-04 12:31:39.190612,66,10.5.1.30,9001,10.5.1.12,57406,TCP,6433,10721,2445342549,3005755750
2024-11-04 12:31:39.193948,66,10.5.1.30,9001,10.5.1.10,33616,TCP,3753,6969,2477257281,362082696
2024-11-04 12:31:39.194292,602,10.5.1.10,33616,10.5.1.30,9001,TCP,6969,3753,362082739,2477257281
2024-11-04 12:31:39.194340,602,10.5.1.21,39736,10.5.1.30,9001,TCP,3753,1609,4287398144,586543374
2024-11-04 12:31:39.194585,66,10.5.1.30,9001,10.5.1.10,33616,TCP,3753,7505,2477257282,362082739
2024-11-04 12:31:39.209797,602,10.5.1.20,43840,10.5.1.30,9001,TCP,537,1,1997346691,3730135541
2024-11-04 12:31:39.210348,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1,1073,3730135587,1997346691
2024-11-04 12:31:39.211311,602,10.5.1.30,9001,10.5.1.20,43840,TCP,1,1073,3730135588,1997346691
2024-11-04 12:31:39.215642,602,10.5.1.11,34324,10.5.1.30,9001,TCP,3687,2101,3134822450,3961874774
2024-11-04 12:31:39.215864,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2101,4223,3961874825,3134822450
2024-11-04 12:31:39.219691,602,10.5.1.10,33616,10.5.1.30,9001,TCP,7505,3753,362082765,2477257282
2024-11-04 12:31:39.219885,66,10.5.1.30,9001,10.5.1.10,33616,TCP,3753,8041,2477257307,362082765
2024-11-04 12:31:39.220418,602,10.5.1.30,9001,10.5.1.10,33616,TCP,3753,8041,2477257307,362082765
2024-11-04 12:31:39.222018,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1073,537,1997346703,3730135588
2024-11-04 12:31:39.237278,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1609,4289,586543426,4287398144
2024-11-04 12:31:39.238433,602,10.5.1.10,33616,10.5.1.30,9001,TCP,8041,4289,362082783,2477257307
2024-11-04 12:31:39.238879,602,10.5.1.30,9001,10.5.1.10,33616,TCP,4289,8577,2477257326,362082783
