Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:17:07.651261,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,179896064,2858593975
2024-11-04 19:17:07.651266,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2196303839,2660049909
2024-11-04 19:17:07.651477,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3451322215,4094018137
2024-11-04 19:17:07.652006,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2660077339,2196303839
2024-11-04 19:17:07.652007,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2858594285,179896064
2024-11-04 19:17:07.652007,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4094046820,3451322215
2024-11-04 19:17:07.652707,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,179896065,2858594285
2024-11-04 19:17:07.653031,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2858594286,179896065
2024-11-04 19:17:07.656372,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,1,3451322220,4094046820
2024-11-04 19:17:07.656784,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1073,4094046824,3451322220
2024-11-04 19:17:07.663196,1630,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2225556654,3156617757
2024-11-04 19:17:07.663211,2144,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1,179896076,2858594286
2024-11-04 19:17:07.664511,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,3151,2858594297,179896076
2024-11-04 19:17:07.664639,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1565,3156618032,2225556654
2024-11-04 19:17:07.665637,1630,10.5.1.30,9001,10.5.1.12,55266,TCP,1,3151,2858594298,179896076
2024-11-04 19:17:07.666656,66,10.5.1.12,55266,10.5.1.30,9001,TCP,3151,1565,179896079,2858594298
2024-11-04 19:17:07.666683,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1565,3156618034,2225556654
2024-11-04 19:17:07.669906,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139649341,3031565159
2024-11-04 19:17:07.670658,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031565577,139649341
2024-11-04 19:17:07.671098,602,10.5.1.12,55266,10.5.1.30,9001,TCP,3151,1565,179896084,2858594298
2024-11-04 19:17:07.671097,74,10.5.1.30,42956,120.226.10.39,80,TCP,0,0,935031392,0
2024-11-04 19:17:07.671972,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1565,3687,2858594305,179896084
2024-11-04 19:17:07.673308,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,3687,2101,179896086,2858594305
2024-11-04 19:17:07.674379,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,2101,4737,2858594307,179896086
2024-11-04 19:17:07.680039,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1565,537,2225556671,3156618034
2024-11-04 19:17:07.680155,1630,10.5.1.12,55266,10.5.1.30,9001,TCP,4737,3151,179896093,2858594307
2024-11-04 19:17:07.681231,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,537,2101,3156618049,2225556671
2024-11-04 19:17:07.682004,66,10.5.1.30,9001,10.5.1.12,55266,TCP,3151,6301,2858594315,179896093
2024-11-04 19:17:07.725722,66,10.5.1.20,56104,10.5.1.30,9001,TCP,2101,1587,2225556716,3156618049
2024-11-04 19:17:07.726241,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1587,2101,3156618094,2225556716
2024-11-04 19:17:07.726511,66,10.5.1.20,56104,10.5.1.30,9001,TCP,2101,2123,2225556717,3156618094
2024-11-04 19:17:07.726831,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,2101,2123,2225556718,3156618094
2024-11-04 19:17:07.727463,1116,10.5.1.30,9001,10.5.1.20,56104,TCP,2123,3151,3156618095,2225556718
2024-11-04 19:17:07.732592,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3151,3173,2225556723,3156618095
2024-11-04 19:17:07.779051,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3173,3687,3156618147,2225556723
2024-11-04 19:17:07.779585,1116,10.5.1.20,56104,10.5.1.30,9001,TCP,3687,3173,2225556770,3156618147
2024-11-04 19:17:07.779946,66,10.5.1.30,9001,10.5.1.20,56104,TCP,3173,4737,3156618148,2225556770
2024-11-04 19:17:07.940708,62,120.226.10.39,80,10.5.1.30,42956,TCP,0,1,,
2024-11-04 19:17:07.941182,54,10.5.1.30,42956,120.226.10.39,80,TCP,1,1,,
2024-11-04 19:17:07.941304,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031565848,139649341
2024-11-04 19:17:07.941790,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139649612,3031565848
2024-11-04 19:17:07.946705,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139649617,3031565848
2024-11-04 19:17:07.947508,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031565854,139649617
2024-11-04 19:17:07.947925,128,10.5.1.30,42956,120.226.10.39,80,TCP,1,1,,
2024-11-04 19:17:08.215593,54,120.226.10.39,80,10.5.1.30,42956,TCP,1,75,,
2024-11-04 19:17:08.223244,512,120.226.10.39,80,10.5.1.30,42956,TCP,1,75,,
2024-11-04 19:17:08.223728,54,10.5.1.30,42956,120.226.10.39,80,TCP,75,459,,
2024-11-04 19:17:08.224068,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031566131,139649617
2024-11-04 19:17:08.229854,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1073,1073,139649901,3031566131
2024-11-04 19:17:08.230410,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,1609,3031566137,139649901
2024-11-04 19:17:08.230729,54,10.5.1.30,42956,120.226.10.39,80,TCP,75,459,,
2024-11-04 19:17:08.495644,54,120.226.10.39,80,10.5.1.30,42956,TCP,459,76,,
2024-11-04 19:17:08.496255,54,10.5.1.30,42956,120.226.10.39,80,TCP,76,460,,
2024-11-04 19:17:08.645096,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1,3451323209,4094046824
2024-11-04 19:17:08.645224,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1609,1073,139650316,3031566137
2024-11-04 19:17:08.645728,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,1,2196304833,2660077339
2024-11-04 19:17:08.646089,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2145,3031566553,139650316
2024-11-04 19:17:08.646090,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,1609,4094047814,3451323209
2024-11-04 19:17:08.646518,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1073,2660078333,2196304833
2024-11-04 19:17:08.646779,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,1,3451323210,4094047814
2024-11-04 19:17:08.647428,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,2145,4094047815,3451323210
2024-11-04 19:17:08.649161,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2145,1073,139650320,3031566553
2024-11-04 19:17:08.649730,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2681,3031566556,139650320
2024-11-04 19:17:08.656683,1116,10.5.1.11,42168,10.5.1.30,9001,TCP,2681,1073,139650327,3031566556
2024-11-04 19:17:08.656824,1116,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1846210346,3523059891
2024-11-04 19:17:08.657737,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,3731,3031566564,139650327
2024-11-04 19:17:08.657738,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1051,3523061153,1846210346
2024-11-04 19:17:08.658518,1116,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1051,3523061154,1846210346
