Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:12:22.371817,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3133665606,3960707623
2024-11-04 12:12:22.372000,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3960717981,3133665606
2024-11-04 12:12:22.372150,74,10.5.1.30,50866,23.13.56.36,80,TCP,0,0,2252054022,0
2024-11-04 12:12:22.390372,74,23.13.56.36,80,10.5.1.30,50866,TCP,0,1,4184624888,2252054022
2024-11-04 12:12:22.390630,66,10.5.1.30,50866,23.13.56.36,80,TCP,1,1,2252054041,4184624888
2024-11-04 12:12:22.390744,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3960718000,3133665606
2024-11-04 12:12:22.394828,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3133665629,3960718000
2024-11-04 12:12:22.395046,141,10.5.1.30,50866,23.13.56.36,80,TCP,1,1,2252054045,4184624888
2024-11-04 12:12:22.412974,66,23.13.56.36,80,10.5.1.30,50866,TCP,1,76,4184624911,2252054045
2024-11-04 12:12:22.433428,1462,23.13.56.36,80,10.5.1.30,50866,TCP,1,76,4184624931,2252054045
2024-11-04 12:12:22.433776,66,10.5.1.30,50866,23.13.56.36,80,TCP,76,1397,2252054084,4184624931
2024-11-04 12:12:22.433996,1630,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3960718043,3133665629
2024-11-04 12:12:22.434291,66,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,2101,3133665668,3960718043
2024-11-04 12:12:22.436682,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,2101,3133665671,3960718043
2024-11-04 12:12:22.436911,66,10.5.1.30,50866,23.13.56.36,80,TCP,76,1397,2252054087,4184624931
2024-11-04 12:12:22.452788,66,23.13.56.36,80,10.5.1.30,50866,TCP,1397,77,4184624951,2252054087
2024-11-04 12:12:22.453001,66,10.5.1.30,50866,23.13.56.36,80,TCP,77,1398,2252054103,4184624951
2024-11-04 12:12:22.477409,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2101,1609,3960718086,3133665671
2024-11-04 12:12:24.109026,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1184560242,1184800681
2024-11-04 12:12:24.109320,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1185100693,1184560242
2024-11-04 12:12:24.600060,602,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1185101184,1184560242
2024-11-04 12:12:24.640754,66,10.5.1.22,52376,10.5.1.30,9001,TCP,537,537,1184560774,1185101184
