Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:19:54.236339,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139815907,3031723191
2024-11-04 19:19:54.236930,74,10.5.1.30,39020,210.236.244.76,80,TCP,0,0,546005214,0
2024-11-04 19:19:54.279060,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031732186,139815907
2024-11-04 19:19:54.508148,66,210.236.244.76,80,10.5.1.30,39020,TCP,0,1,,
2024-11-04 19:19:54.509120,54,10.5.1.30,39020,210.236.244.76,80,TCP,1,1,,
2024-11-04 19:19:54.509324,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031732416,139815907
2024-11-04 19:19:54.510177,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139816181,3031732416
2024-11-04 19:19:54.513409,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,139816184,3031732416
2024-11-04 19:19:54.513677,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031732420,139816184
2024-11-04 19:19:54.513919,127,10.5.1.30,39020,210.236.244.76,80,TCP,1,1,,
2024-11-04 19:19:54.785482,54,210.236.244.76,80,10.5.1.30,39020,TCP,1,74,,
2024-11-04 19:19:54.786280,265,210.236.244.76,80,10.5.1.30,39020,TCP,1,74,,
2024-11-04 19:19:54.786746,54,10.5.1.30,39020,210.236.244.76,80,TCP,74,212,,
2024-11-04 19:19:54.787246,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3031732694,139816184
