Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:34:21.991391,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005918593,2445499945
2024-11-04 12:34:21.991661,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445505350,3005918593
2024-11-04 12:34:21.991889,74,10.5.1.30,34706,74.115.51.7,80,TCP,0,0,732212642,0
2024-11-04 12:34:22.018424,74,74.115.51.7,80,10.5.1.30,34706,TCP,0,1,606760744,732212642
2024-11-04 12:34:22.018862,66,10.5.1.30,34706,74.115.51.7,80,TCP,1,1,732212669,606760744
2024-11-04 12:34:22.018950,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445505377,3005918593
2024-11-04 12:34:22.021767,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3005918624,2445505377
2024-11-04 12:34:22.022075,140,10.5.1.30,34706,74.115.51.7,80,TCP,1,1,732212672,606760744
2024-11-04 12:34:22.048266,66,74.115.51.7,80,10.5.1.30,34706,TCP,1,75,606760774,732212672
2024-11-04 12:34:22.063923,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445505422,3005918624
2024-11-04 12:34:22.818652,868,74.115.51.7,80,10.5.1.30,34706,TCP,1,75,606761543,732212672
2024-11-04 12:34:22.819126,66,10.5.1.30,34706,74.115.51.7,80,TCP,75,803,732213469,606761543
2024-11-04 12:34:22.819306,71,74.115.51.7,80,10.5.1.30,34706,TCP,803,75,606761543,732212672
