Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:19:48.533363,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134111767,3961164114
2024-11-04 12:19:48.533595,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961164143,3134111767
2024-11-04 12:19:48.533785,74,10.5.1.30,59882,23.50.131.156,80,TCP,0,0,4288734482,0
2024-11-04 12:19:48.540681,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,1,2444631899,3005045097
2024-11-04 12:19:48.540681,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,1,1185545125,1185004627
2024-11-04 12:19:48.540700,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1,1,3729424918,1996635975
2024-11-04 12:19:48.548062,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3134111782,3961164143
2024-11-04 12:19:48.554011,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1,2476546641,361372053
2024-11-04 12:19:48.560925,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005045163,2444631899
2024-11-04 12:19:48.560948,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1185004694,1185545125
2024-11-04 12:19:48.561180,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1185545145,1185004694
2024-11-04 12:19:48.561180,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2444631919,3005045163
2024-11-04 12:19:48.561544,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2444631920,3005045163
2024-11-04 12:19:48.561690,602,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1185545146,1185004694
2024-11-04 12:19:48.567656,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3005045170,2444631920
2024-11-04 12:19:48.568183,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2444631926,3005045170
2024-11-04 12:19:48.571649,74,23.50.131.156,80,10.5.1.30,59882,TCP,0,1,3745171768,4288734482
2024-11-04 12:19:48.571728,602,10.5.1.22,52376,10.5.1.30,9001,TCP,537,537,1185004705,1185545146
2024-11-04 12:19:48.571942,66,10.5.1.30,59882,23.50.131.156,80,TCP,1,1,4288734520,3745171768
2024-11-04 12:19:48.572033,602,10.5.1.30,9001,10.5.1.22,52376,TCP,537,1073,1185545156,1185004705
2024-11-04 12:19:48.574353,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961164183,3134111782
2024-11-04 12:19:48.577527,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,1073,3134111811,3961164183
2024-11-04 12:19:48.577770,144,10.5.1.30,59882,23.50.131.156,80,TCP,1,1,4288734526,3745171768
2024-11-04 12:19:48.577860,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1073,3005045180,2444631926
2024-11-04 12:19:48.581717,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1073,1073,1185004715,1185545156
2024-11-04 12:19:48.616316,66,23.50.131.156,80,10.5.1.30,59882,TCP,1,79,3745171813,4288734526
2024-11-04 12:19:48.621274,215,23.50.131.156,80,10.5.1.30,59882,TCP,1,79,3745171818,4288734526
2024-11-04 12:19:48.621498,66,10.5.1.30,59882,23.50.131.156,80,TCP,79,150,4288734569,3745171818
2024-11-04 12:19:48.621674,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1073,1609,3961164231,3134111811
2024-11-04 12:19:48.621835,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1609,1609,3134111856,3961164231
2024-11-04 12:19:48.624007,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,1609,2444631982,3005045180
2024-11-04 12:19:48.627354,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1073,1609,1185545211,1185004715
2024-11-04 12:19:48.664029,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1609,2145,3961164273,3134111856
