Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-10-31 11:37:57.184754,602,10.5.1.10,50846,10.5.1.30,9001,TCP,1,1,2395994003,2131086469
2024-10-31 11:37:57.184887,66,10.5.1.30,9001,10.5.1.10,50846,TCP,1,537,2131096839,2395994003
2024-10-31 11:37:57.185053,74,10.5.1.30,49500,192.133.11.1,80,TCP,0,0,3269829770,0
2024-10-31 11:37:57.212967,74,192.133.11.1,80,10.5.1.30,49500,TCP,0,1,2698668446,3269829770
2024-10-31 11:37:57.213148,66,10.5.1.30,49500,192.133.11.1,80,TCP,1,1,3269829798,2698668446
2024-10-31 11:37:57.213357,602,10.5.1.30,9001,10.5.1.10,50846,TCP,1,537,2131096867,2395994003
2024-10-31 11:37:57.220245,602,10.5.1.10,50846,10.5.1.30,9001,TCP,537,537,2395994038,2131096867
2024-10-31 11:37:57.220893,137,10.5.1.30,49500,192.133.11.1,80,TCP,1,1,3269829806,2698668446
2024-10-31 11:37:57.245333,66,192.133.11.1,80,10.5.1.30,49500,TCP,1,72,2698668479,3269829806
2024-10-31 11:37:57.265203,66,10.5.1.30,9001,10.5.1.10,50846,TCP,537,1073,2131096919,2395994038
2024-10-31 11:37:57.323102,683,192.133.11.1,80,10.5.1.30,49500,TCP,1,72,2698668556,3269829806
2024-10-31 11:37:57.323202,66,10.5.1.30,49500,192.133.11.1,80,TCP,72,618,3269829908,2698668556
