Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:38:56.490105,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3449031054,4091754484
2024-11-04 18:38:56.490394,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091755658,3449031054
2024-11-04 18:38:56.490625,74,10.5.1.30,36648,151.101.130.194,80,TCP,0,0,2783055929,0
2024-11-04 18:38:56.527834,74,151.101.130.194,80,10.5.1.30,36648,TCP,0,1,3934172083,2783055929
2024-11-04 18:38:56.528172,66,10.5.1.30,36648,151.101.130.194,80,TCP,1,1,2783055967,3934172083
2024-11-04 18:38:56.528283,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091755696,3449031054
2024-11-04 18:38:56.532969,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3449031097,4091755696
2024-11-04 18:38:56.533413,139,10.5.1.30,36648,151.101.130.194,80,TCP,1,1,2783055972,3934172083
2024-11-04 18:38:56.544261,2658,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1,2856303177,177603883
2024-11-04 18:38:56.544862,2658,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1,3029274452,137357170
2024-11-04 18:38:56.544912,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1,2593,177604958,2856303177
2024-11-04 18:38:56.545591,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1,2593,137358216,3029274452
2024-11-04 18:38:56.545750,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,2593,177604958,2856303177
2024-11-04 18:38:56.546030,66,10.5.1.30,9001,10.5.1.12,55266,TCP,2593,537,2856303179,177604958
2024-11-04 18:38:56.546290,1630,10.5.1.11,42168,10.5.1.30,9001,TCP,1,2593,137358217,3029274452
2024-11-04 18:38:56.546686,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2593,1565,3029274453,137358217
2024-11-04 18:38:56.546763,602,10.5.1.30,9001,10.5.1.12,55266,TCP,2593,537,2856303179,177604958
2024-11-04 18:38:56.547389,1116,10.5.1.12,55266,10.5.1.30,9001,TCP,537,3129,177604960,2856303179
2024-11-04 18:38:56.548738,1116,10.5.1.30,9001,10.5.1.12,55266,TCP,3129,1587,2856303181,177604960
