Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:30:59.998800,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005716601,2445293013
2024-11-04 12:30:59.999153,74,10.5.1.30,58266,199.15.163.133,80,TCP,0,0,806409432,0
2024-11-04 12:31:00.040611,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445303399,3005716601
2024-11-04 12:31:00.057377,74,199.15.163.133,80,10.5.1.30,58266,TCP,0,1,4143007021,806409432
2024-11-04 12:31:00.057661,66,10.5.1.30,58266,199.15.163.133,80,TCP,1,1,806409491,4143007021
2024-11-04 12:31:00.057789,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445303416,3005716601
2024-11-04 12:31:00.058014,66,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3005716660,2445303416
2024-11-04 12:31:00.060416,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3005716662,2445303416
2024-11-04 12:31:00.060682,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445303419,3005716662
2024-11-04 12:31:00.060986,137,10.5.1.30,58266,199.15.163.133,80,TCP,1,1,806409494,4143007021
2024-11-04 12:31:00.119468,66,199.15.163.133,80,10.5.1.30,58266,TCP,1,72,4143007084,806409494
2024-11-04 12:31:00.121916,287,199.15.163.133,80,10.5.1.30,58266,TCP,1,72,4143007084,806409494
2024-11-04 12:31:00.122068,66,10.5.1.30,58266,199.15.163.133,80,TCP,72,222,806409555,4143007084
2024-11-04 12:31:00.122265,66,199.15.163.133,80,10.5.1.30,58266,TCP,222,72,4143007084,806409494
2024-11-04 12:31:00.122318,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445303480,3005716662
2024-11-04 12:31:00.122575,66,10.5.1.30,58266,199.15.163.133,80,TCP,72,223,806409556,4143007084
2024-11-04 12:31:00.124695,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1073,3005716727,2445303480
2024-11-04 12:31:00.125099,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,1609,2445303483,3005716727
2024-11-04 12:31:00.167331,66,10.5.1.12,57406,10.5.1.30,9001,TCP,1609,1609,3005716769,2445303483
2024-11-04 12:31:00.184980,66,199.15.163.133,80,10.5.1.30,58266,TCP,223,73,4143007149,806409556
