Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 11:59:38.330753,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3132901565,3959924013
2024-11-04 11:59:38.330894,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959953940,3132901565
2024-11-04 11:59:38.334335,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,360161879,2475335094
2024-11-04 11:59:38.334436,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475336421,360161879
2024-11-04 11:59:38.334593,74,10.5.1.30,57846,104.166.169.130,80,TCP,0,0,2878209054,0
2024-11-04 11:59:38.360007,66,104.166.169.130,80,10.5.1.30,57846,TCP,0,1,,
2024-11-04 11:59:38.360131,54,10.5.1.30,57846,104.166.169.130,80,TCP,1,1,,
2024-11-04 11:59:38.360281,602,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2475336447,360161879
2024-11-04 11:59:38.360493,66,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360161905,2475336447
2024-11-04 11:59:38.364830,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,537,360161910,2475336447
2024-11-04 11:59:38.365095,131,10.5.1.30,57846,104.166.169.130,80,TCP,1,1,,
2024-11-04 11:59:38.375513,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3959953984,3132901565
2024-11-04 11:59:38.389980,54,104.166.169.130,80,10.5.1.30,57846,TCP,1,78,,
2024-11-04 11:59:38.407492,66,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475336494,360161910
2024-11-04 11:59:38.417499,66,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3132901651,3959953984
2024-11-04 11:59:38.547944,1494,104.166.169.130,80,10.5.1.30,57846,TCP,1,78,,
2024-11-04 11:59:38.548162,54,10.5.1.30,57846,104.166.169.130,80,TCP,78,1441,,
2024-11-04 11:59:38.548349,4374,104.166.169.130,80,10.5.1.30,57846,TCP,1441,78,,
2024-11-04 11:59:38.548349,1630,10.5.1.30,9001,10.5.1.10,33616,TCP,537,1073,2475336635,360161910
2024-11-04 11:59:38.548572,66,10.5.1.10,33616,10.5.1.30,9001,TCP,1073,2101,360162094,2475336635
2024-11-04 11:59:38.548606,54,10.5.1.30,57846,104.166.169.130,80,TCP,78,5761,,
2024-11-04 11:59:38.548771,4374,104.166.169.130,80,10.5.1.30,57846,TCP,5761,78,,
2024-11-04 11:59:38.548958,54,10.5.1.30,57846,104.166.169.130,80,TCP,78,10081,,
2024-11-04 11:59:38.550299,1494,104.166.169.130,80,10.5.1.30,57846,TCP,10081,78,,
2024-11-04 11:59:38.550389,54,10.5.1.30,57846,104.166.169.130,80,TCP,78,11521,,
2024-11-04 11:59:38.550495,1494,104.166.169.130,80,10.5.1.30,57846,TCP,11521,78,,
