Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 20:00:02.298398,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3453896862,4096620593
2024-11-04 20:00:02.299349,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096621467,3453896862
2024-11-04 20:00:02.300022,74,10.5.1.30,38556,87.250.250.50,80,TCP,0,0,2155047257,0
2024-11-04 20:00:02.386581,74,87.250.250.50,80,10.5.1.30,38556,TCP,0,1,2843852626,2155047257
2024-11-04 20:00:02.387466,66,10.5.1.30,38556,87.250.250.50,80,TCP,1,1,2155047344,2843852626
2024-11-04 20:00:02.387595,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4096621555,3453896862
2024-11-04 20:00:02.393291,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3453896957,4096621555
2024-11-04 20:00:02.394043,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096621562,3453896957
2024-11-04 20:00:02.394568,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4096621562,3453896957
2024-11-04 20:00:02.394922,137,10.5.1.30,38556,87.250.250.50,80,TCP,1,1,2155047352,2843852626
2024-11-04 20:00:02.435551,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3453896999,4096621562
2024-11-04 20:00:02.471710,66,87.250.250.50,80,10.5.1.30,38556,TCP,1,72,2843852721,2155047352
2024-11-04 20:00:02.473024,147,87.250.250.50,80,10.5.1.30,38556,TCP,1,72,2843852721,2155047352
2024-11-04 20:00:02.473325,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2198878661,2662651912
2024-11-04 20:00:02.473641,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2228131464,3159192606
2024-11-04 20:00:02.473804,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1848784162,3525633911
2024-11-04 20:00:02.473835,66,10.5.1.30,38556,87.250.250.50,80,TCP,72,82,2155047431,2843852721
2024-11-04 20:00:02.474533,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2662652161,2198878661
2024-11-04 20:00:02.474694,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1073,4096621642,3453896999
2024-11-04 20:00:02.474752,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3159192842,2228131464
2024-11-04 20:00:02.474933,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3525634971,1848784162
2024-11-04 20:00:02.475284,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,1,2198878663,2662652161
2024-11-04 20:00:02.475470,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1609,3453897039,4096621642
2024-11-04 20:00:02.475910,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2228131467,3159192842
2024-11-04 20:00:02.475969,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1073,2662652163,2198878663
2024-11-04 20:00:02.476970,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3159192845,2228131467
2024-11-04 20:00:02.483202,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,1,2228131474,3159192845
2024-11-04 20:00:02.483921,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1609,3453897048,4096621642
2024-11-04 20:00:02.484472,1630,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1848784173,3525634971
2024-11-04 20:00:02.484528,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1609,3159192852,2228131474
2024-11-04 20:00:02.485439,66,10.5.1.30,38556,87.250.250.50,80,TCP,72,82,2155047442,2843852721
2024-11-04 20:00:02.485476,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,2101,3525634981,1848784173
2024-11-04 20:00:02.486940,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,2101,3525634983,1848784173
2024-11-04 20:00:02.487590,1630,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,1,2228131478,3159192852
2024-11-04 20:00:02.488659,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,3173,3159192856,2228131478
2024-11-04 20:00:02.489842,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,3173,3159192858,2228131478
