Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:51:36.823414,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1844678512,3521518938
2024-11-04 18:51:36.823971,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3521529320,1844678512
2024-11-04 18:51:36.824364,74,10.5.1.30,53596,5.45.213.2,80,TCP,0,0,3819189440,0
2024-11-04 18:51:36.934832,74,5.45.213.2,80,10.5.1.30,53596,TCP,0,1,2866520125,3819189440
2024-11-04 18:51:36.935315,66,10.5.1.30,53596,5.45.213.2,80,TCP,1,1,3819189551,2866520125
2024-11-04 18:51:36.935526,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3521529431,1844678512
2024-11-04 18:51:36.940019,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1844678629,3521529431
2024-11-04 18:51:36.940704,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3521529436,1844678629
2024-11-04 18:51:36.941152,139,10.5.1.30,53596,5.45.213.2,80,TCP,1,1,3819189557,2866520125
2024-11-04 18:51:37.017037,66,5.45.213.2,80,10.5.1.30,53596,TCP,1,74,2866520212,3819189557
2024-11-04 18:51:37.027131,430,5.45.213.2,80,10.5.1.30,53596,TCP,1209,74,2866520221,3819189557
2024-11-04 18:51:37.027496,78,10.5.1.30,53596,5.45.213.2,80,TCP,74,1,3819189643,2866520212
2024-11-04 18:51:37.049952,1274,5.45.213.2,80,10.5.1.30,53596,TCP,1,74,2866520221,3819189557
2024-11-04 18:51:37.050622,66,10.5.1.30,53596,5.45.213.2,80,TCP,74,1573,3819189666,2866520221
2024-11-04 18:51:37.051017,2144,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3521529547,1844678629
2024-11-04 18:51:37.051839,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,2615,1844678741,3521529547
2024-11-04 18:51:37.057012,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,2615,1844678746,3521529547
2024-11-04 18:51:37.057641,66,10.5.1.30,9001,10.5.1.21,54580,TCP,2615,1609,3521529553,1844678746
2024-11-04 18:51:37.058061,66,10.5.1.30,53596,5.45.213.2,80,TCP,74,1573,3819189674,2866520221
