Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:28:16.062764,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,173364475,2852056659
2024-11-04 17:28:16.062871,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2852062696,173364475
2024-11-04 17:28:16.063049,74,10.5.1.30,34578,103.47.81.124,80,TCP,0,0,3881571728,0
2024-11-04 17:28:16.063078,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,173364476,2852062696
2024-11-04 17:28:16.063177,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2852062696,173364476
2024-11-04 17:28:16.338873,74,103.47.81.124,80,10.5.1.30,34578,TCP,0,1,1443270578,3881571728
2024-11-04 17:28:16.338975,66,10.5.1.30,34578,103.47.81.124,80,TCP,1,1,3881572004,1443270578
2024-11-04 17:28:16.339130,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2852062972,173364476
2024-11-04 17:28:16.339189,66,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,537,173364752,2852062972
2024-11-04 17:28:16.343661,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,537,173364756,2852062972
2024-11-04 17:28:16.343794,66,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1609,2852062976,173364756
2024-11-04 17:28:16.343878,140,10.5.1.30,34578,103.47.81.124,80,TCP,1,1,3881572009,1443270578
2024-11-04 17:28:16.603639,66,103.47.81.124,80,10.5.1.30,34578,TCP,1,75,1443270863,3881572009
2024-11-04 17:28:16.718830,432,103.47.81.124,80,10.5.1.30,34578,TCP,1,75,1443270978,3881572009
2024-11-04 17:28:16.718927,66,10.5.1.30,34578,103.47.81.124,80,TCP,75,367,3881572384,1443270978
2024-11-04 17:28:16.719141,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1609,2852063352,173364756
2024-11-04 17:28:16.724149,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,1073,173365137,2852063352
2024-11-04 17:28:16.724252,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2145,2852063357,173365137
2024-11-04 17:28:16.724347,66,10.5.1.30,34578,103.47.81.124,80,TCP,75,367,3881572389,1443270978
2024-11-04 17:28:16.981234,66,103.47.81.124,80,10.5.1.30,34578,TCP,367,76,1443271238,3881572389
2024-11-04 17:28:16.981318,66,10.5.1.30,34578,103.47.81.124,80,TCP,76,368,3881572646,1443271238
2024-11-04 17:28:21.004273,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,133122675,3025027993
2024-11-04 17:28:21.004405,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3025038911,133122675
2024-11-04 17:28:21.005047,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3025038912,133122675
2024-11-04 17:28:21.046435,66,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,133122717,3025038912
2024-11-04 17:28:21.953895,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1073,173370367,2852063357
2024-11-04 17:28:21.953993,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2681,2852068587,173370367
