Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:34:37.383309,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3448771947,4091485894
2024-11-04 18:34:37.383645,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091496551,3448771947
2024-11-04 18:34:37.383840,74,10.5.1.30,45328,220.197.31.37,80,TCP,0,0,1022889257,0
2024-11-04 18:34:37.712360,66,220.197.31.37,80,10.5.1.30,45328,TCP,0,1,,
2024-11-04 18:34:37.712790,54,10.5.1.30,45328,220.197.31.37,80,TCP,1,1,,
2024-11-04 18:34:37.713019,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091496881,3448771947
2024-11-04 18:34:37.715141,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3448772279,4091496881
2024-11-04 18:34:37.715307,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091496883,3448772279
2024-11-04 18:34:37.715473,128,10.5.1.30,45328,220.197.31.37,80,TCP,1,1,,
2024-11-04 18:34:38.592661,128,10.5.1.30,45328,220.197.31.37,80,TCP,1,1,,
2024-11-04 18:34:38.892337,54,220.197.31.37,80,10.5.1.30,45328,TCP,1,75,,
2024-11-04 18:34:38.892681,253,220.197.31.37,80,10.5.1.30,45328,TCP,1,75,,
2024-11-04 18:34:38.892860,54,10.5.1.30,45328,220.197.31.37,80,TCP,75,200,,
2024-11-04 18:34:38.893087,602,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091498061,3448772279
2024-11-04 18:34:38.895491,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,1073,3448773459,4091498061
2024-11-04 18:34:38.895722,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,1609,4091498063,3448773459
2024-11-04 18:34:38.895911,54,10.5.1.30,45328,220.197.31.37,80,TCP,75,200,,
2024-11-04 18:34:39.804905,253,220.197.31.37,80,10.5.1.30,45328,TCP,1,75,,
2024-11-04 18:34:39.805242,66,10.5.1.30,45328,220.197.31.37,80,TCP,76,200,,
2024-11-04 18:34:39.889324,54,10.5.1.30,45328,220.197.31.37,80,TCP,75,200,,
2024-11-04 18:34:40.189838,54,220.197.31.37,80,10.5.1.30,45328,TCP,200,76,,
2024-11-04 18:34:40.190280,54,10.5.1.30,45328,220.197.31.37,80,TCP,76,201,,
2024-11-04 18:34:45.747004,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2193761935,2657505917
2024-11-04 18:34:45.747151,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2223014738,3154047844
2024-11-04 18:34:45.747200,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,177354160,2856024082
2024-11-04 18:34:45.747253,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1843667436,3520489902
2024-11-04 18:34:45.747288,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,1073,3448780311,4091498063
2024-11-04 18:34:45.747598,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,2145,4091504915,3448780311
2024-11-04 18:34:45.747598,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3520518243,1843667436
2024-11-04 18:34:45.747599,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,537,2657535434,2193761935
2024-11-04 18:34:45.747599,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3154076115,2223014738
2024-11-04 18:34:45.747603,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2856052380,177354160
2024-11-04 18:34:45.747908,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2223014739,3154076115
2024-11-04 18:34:45.748081,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3154076116,2223014739
2024-11-04 18:34:45.753015,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1,1843667442,3520518243
2024-11-04 18:34:45.753204,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3520518249,1843667442
2024-11-04 18:34:45.753616,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1073,3520518249,1843667442
2024-11-04 18:34:45.754584,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,1,177354167,2856052380
2024-11-04 18:34:45.754635,602,10.5.1.23,40268,10.5.1.30,9001,TCP,537,1,2193761942,2657535434
2024-11-04 18:34:45.755013,66,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1073,2657535442,2193761942
2024-11-04 18:34:45.755013,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1073,2856052388,177354167
2024-11-04 18:34:45.755434,602,10.5.1.30,9001,10.5.1.23,40268,TCP,1,1073,2657535442,2193761942
2024-11-04 18:34:45.756313,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1,177354169,2856052388
2024-11-04 18:34:45.756508,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2856052389,177354169
2024-11-04 18:34:45.756683,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,1609,2856052389,177354169
2024-11-04 18:34:45.756703,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,537,1843667445,3520518249
2024-11-04 18:34:45.756769,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2145,1073,3448780320,4091504915
2024-11-04 18:34:45.757111,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,2681,4091504925,3448780320
2024-11-04 18:34:45.759471,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1073,537,2193761947,2657535442
2024-11-04 18:34:45.759651,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1073,2681,4091504927,3448780320
2024-11-04 18:34:45.759880,602,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1609,3520518256,1843667445
2024-11-04 18:34:45.760068,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,1073,1843667449,3520518256
2024-11-04 18:34:45.763481,602,10.5.1.30,9001,10.5.1.23,40268,TCP,537,1609,2657535450,2193761947
2024-11-04 18:34:45.763663,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1073,2145,3520518259,1843667449
2024-11-04 18:34:45.769802,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,537,177354182,2856052389
2024-11-04 18:34:45.769806,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,1609,1843667459,3520518259
2024-11-04 18:34:45.770080,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1609,1073,2193761958,2657535450
2024-11-04 18:34:45.770374,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,2145,2856052403,177354182
2024-11-04 18:34:45.770710,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1609,2681,3520518266,1843667459
2024-11-04 18:34:45.773010,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2681,2145,1843667462,3520518266
2024-11-04 18:34:45.773035,602,10.5.1.10,42922,10.5.1.30,9001,TCP,2681,1609,3448780337,4091504927
2024-11-04 18:34:45.773321,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1609,3217,4091504941,3448780337
2024-11-04 18:34:45.776551,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2145,1073,177354189,2856052403
2024-11-04 18:34:45.776745,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2681,2856052409,177354189
2024-11-04 18:34:45.786858,602,10.5.1.12,55266,10.5.1.30,9001,TCP,2681,1609,177354200,2856052409
2024-11-04 18:34:45.786875,602,10.5.1.10,42922,10.5.1.30,9001,TCP,3217,2145,3448780351,4091504941
2024-11-04 18:34:45.787212,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1609,3217,2856052420,177354200
