Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:02:59.071730,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,138800742,3030706693
2024-11-04 19:02:59.072252,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3030716979,138800742
2024-11-04 19:02:59.072581,74,10.5.1.30,54888,66.254.114.242,80,TCP,0,0,183157510,0
2024-11-04 19:02:59.098762,74,66.254.114.242,80,10.5.1.30,54888,TCP,0,1,3530463032,183157510
2024-11-04 19:02:59.099208,66,10.5.1.30,54888,66.254.114.242,80,TCP,1,1,183157537,3530463032
2024-11-04 19:02:59.099337,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3030717006,138800742
2024-11-04 19:02:59.103442,602,10.5.1.11,42168,10.5.1.30,9001,TCP,537,537,138800774,3030717006
2024-11-04 19:02:59.103915,141,10.5.1.30,54888,66.254.114.242,80,TCP,1,1,183157542,3530463032
2024-11-04 19:02:59.145811,66,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3030717053,138800774
2024-11-04 19:02:59.178675,66,66.254.114.242,80,10.5.1.30,54888,TCP,1,76,3530463112,183157542
2024-11-04 19:02:59.183683,305,66.254.114.242,80,10.5.1.30,54888,TCP,1,76,3530463116,183157542
2024-11-04 19:02:59.184042,66,10.5.1.30,54888,66.254.114.242,80,TCP,76,240,183157622,3530463116
2024-11-04 19:02:59.184320,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1073,3030717091,138800774
