Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:20:19.931079,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134143165,3961195183
2024-11-04 12:20:19.931506,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961195540,3134143165
2024-11-04 12:20:19.931780,74,10.5.1.30,41816,66.254.114.79,80,TCP,0,0,1882518076,0
2024-11-04 12:20:19.956482,74,66.254.114.79,80,10.5.1.30,41816,TCP,0,1,3505693887,1882518076
2024-11-04 12:20:19.956810,66,10.5.1.30,41816,66.254.114.79,80,TCP,1,1,1882518101,3505693887
2024-11-04 12:20:19.956933,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961195566,3134143165
2024-11-04 12:20:19.961682,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3134143196,3961195566
2024-11-04 12:20:19.962121,141,10.5.1.30,41816,66.254.114.79,80,TCP,1,1,1882518106,3505693887
2024-11-04 12:20:19.968700,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005076571,2444662969
2024-11-04 12:20:19.969206,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2444663327,3005076571
2024-11-04 12:20:19.991461,151,66.254.114.79,80,10.5.1.30,41816,TCP,1,76,3505693920,1882518106
2024-11-04 12:20:19.991749,66,10.5.1.30,41816,66.254.114.79,80,TCP,76,86,1882518136,3505693920
2024-11-04 12:20:19.992043,602,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961195601,3134143196
