Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 19:14:54.990767,74,184.86.251.29,80,10.5.1.30,37046,TCP,0,1,4079938644,3270156981
2024-11-04 19:14:54.991175,66,10.5.1.30,37046,184.86.251.29,80,TCP,1,1,3270157016,4079938644
2024-11-04 19:14:54.991277,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,1,3522927487,1846076644
2024-11-04 19:14:54.996214,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,537,1846076685,3522927487
2024-11-04 19:14:54.996827,138,10.5.1.30,37046,184.86.251.29,80,TCP,1,1,3270157022,4079938644
2024-11-04 19:14:55.033215,66,184.86.251.29,80,10.5.1.30,37046,TCP,1,73,4079938687,3270157022
2024-11-04 19:14:55.039059,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,537,3522927535,1846076685
2024-11-04 19:14:55.043360,611,184.86.251.29,80,10.5.1.30,37046,TCP,1,73,4079938696,3270157022
2024-11-04 19:14:55.043975,66,10.5.1.30,37046,184.86.251.29,80,TCP,73,546,3270157069,4079938696
2024-11-04 19:14:55.044615,1116,10.5.1.30,9001,10.5.1.21,54580,TCP,537,537,3522927540,1846076685
2024-11-04 19:14:55.045644,66,184.86.251.29,80,10.5.1.30,37046,TCP,546,73,4079938699,3270157022
2024-11-04 19:14:55.046439,66,10.5.1.30,37046,184.86.251.29,80,TCP,73,547,3270157071,4079938699
2024-11-04 19:14:55.048672,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,1587,1846076737,3522927540
2024-11-04 19:14:55.049772,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1587,1073,3522927545,1846076737
2024-11-04 19:14:55.050484,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1587,1073,3522927546,1846076737
2024-11-04 19:14:55.080719,66,184.86.251.29,80,10.5.1.30,37046,TCP,547,74,4079938735,3270157071
2024-11-04 19:14:55.092411,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,2123,1846076781,3522927546
2024-11-04 19:15:03.555205,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,2123,1846085244,3522927546
2024-11-04 19:15:03.556271,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1,1,2225432547,3156466301
2024-11-04 19:15:03.556807,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,537,3156493925,2225432547
2024-11-04 19:15:03.566143,602,10.5.1.20,56104,10.5.1.30,9001,TCP,537,1,2225432557,3156493925
2024-11-04 19:15:03.566395,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3156493934,2225432557
2024-11-04 19:15:03.567121,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1,1073,3156493935,2225432557
2024-11-04 19:15:03.569333,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1,1,179771982,2858442833
2024-11-04 19:15:03.569785,602,10.5.1.30,9001,10.5.1.12,55266,TCP,1,537,2858470202,179771982
2024-11-04 19:15:03.570102,66,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,179771983,2858470202
2024-11-04 19:15:03.573055,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1073,537,2225432564,3156493935
2024-11-04 19:15:03.573349,602,10.5.1.30,9001,10.5.1.20,56104,TCP,537,1609,3156493941,2225432564
2024-11-04 19:15:03.576204,602,10.5.1.12,55266,10.5.1.30,9001,TCP,537,537,179771989,2858470202
2024-11-04 19:15:03.576685,602,10.5.1.30,9001,10.5.1.12,55266,TCP,537,1073,2858470209,179771989
2024-11-04 19:15:03.582545,602,10.5.1.20,56104,10.5.1.30,9001,TCP,1609,1073,2225432573,3156493941
2024-11-04 19:15:03.585926,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1073,1073,179771999,2858470209
2024-11-04 19:15:03.599091,66,10.5.1.30,9001,10.5.1.21,54580,TCP,2123,1609,3522936095,1846085244
2024-11-04 19:15:03.625720,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2145,3156493993,2225432573
2024-11-04 19:15:03.629055,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,1609,2858470262,179771999
2024-11-04 19:15:03.828666,602,10.5.1.12,55266,10.5.1.30,9001,TCP,1609,1073,179772241,2858470262
2024-11-04 19:15:03.828835,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1609,2123,1846085518,3522936095
2024-11-04 19:15:03.828844,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1,1,139525500,3031414065
2024-11-04 19:15:03.828923,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2145,1073,2225432820,3156493993
2024-11-04 19:15:03.829272,66,10.5.1.30,9001,10.5.1.12,55266,TCP,1073,2145,2858470462,179772241
2024-11-04 19:15:03.829500,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,2681,3156494197,2225432820
2024-11-04 19:15:03.829583,66,10.5.1.30,9001,10.5.1.21,54580,TCP,2123,2145,3522936325,1846085518
2024-11-04 19:15:03.838901,602,10.5.1.20,56104,10.5.1.30,9001,TCP,2681,1073,2225432830,3156494197
2024-11-04 19:15:03.839228,66,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3217,3156494207,2225432830
2024-11-04 19:15:03.839826,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1073,3217,3156494208,2225432830
2024-11-04 19:15:03.843648,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2145,2123,1846085532,3522936325
2024-11-04 19:15:03.843937,66,10.5.1.30,9001,10.5.1.21,54580,TCP,2123,2681,3522936340,1846085532
2024-11-04 19:15:03.844642,602,10.5.1.30,9001,10.5.1.21,54580,TCP,2123,2681,3522936340,1846085532
2024-11-04 19:15:03.845095,66,10.5.1.21,54580,10.5.1.30,9001,TCP,2681,2659,1846085534,3522936340
2024-11-04 19:15:03.850403,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3217,1609,2225432841,3156494208
2024-11-04 19:15:03.851268,602,10.5.1.30,9001,10.5.1.20,56104,TCP,1609,3753,3156494219,2225432841
2024-11-04 19:15:03.852696,602,10.5.1.21,54580,10.5.1.30,9001,TCP,2681,2659,1846085541,3522936340
2024-11-04 19:15:03.853369,602,10.5.1.30,9001,10.5.1.21,54580,TCP,2659,3217,3522936349,1846085541
2024-11-04 19:15:03.859739,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3217,3195,1846085548,3522936349
2024-11-04 19:15:03.862997,602,10.5.1.20,56104,10.5.1.30,9001,TCP,3753,2145,2225432854,3156494219
2024-11-04 19:15:03.872395,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,537,3031441779,139525500
2024-11-04 19:15:03.872809,1116,10.5.1.11,42168,10.5.1.30,9001,TCP,537,1,139525544,3031441779
2024-11-04 19:15:03.873261,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1587,3031441780,139525544
2024-11-04 19:15:03.873985,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1,1587,3031441781,139525544
2024-11-04 19:15:03.874417,66,10.5.1.11,42168,10.5.1.30,9001,TCP,1587,537,139525545,3031441781
2024-11-04 19:15:03.875952,602,10.5.1.30,9001,10.5.1.11,42168,TCP,537,1587,3031441783,139525545
2024-11-04 19:15:03.876155,602,10.5.1.11,42168,10.5.1.30,9001,TCP,1587,537,139525547,3031441781
2024-11-04 19:15:03.902398,66,10.5.1.30,9001,10.5.1.21,54580,TCP,3195,3753,3522936398,1846085548
2024-11-04 19:15:03.905732,66,10.5.1.30,9001,10.5.1.20,56104,TCP,2145,4289,3156494273,2225432854
2024-11-04 19:15:03.919056,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2123,3031441826,139525547
2024-11-04 19:15:03.919257,66,10.5.1.11,42168,10.5.1.30,9001,TCP,2123,1073,139525590,3031441783
2024-11-04 19:15:03.919428,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1073,2123,3031441826,139525590
2024-11-04 19:15:03.919661,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2123,1073,139525590,3031441826
2024-11-04 19:15:03.919901,66,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,2659,3031441827,139525590
2024-11-04 19:15:03.920101,66,10.5.1.11,42168,10.5.1.30,9001,TCP,2659,1609,139525590,3031441826
2024-11-04 19:15:03.920313,602,10.5.1.30,9001,10.5.1.11,42168,TCP,1609,2659,3031441827,139525590
2024-11-04 19:15:03.920597,66,10.5.1.11,42168,10.5.1.30,9001,TCP,2659,2145,139525591,3031441827
2024-11-04 19:15:03.926477,602,10.5.1.11,42168,10.5.1.30,9001,TCP,2659,2145,139525597,3031441827
2024-11-04 19:15:03.969065,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2145,3195,3031441876,139525597
2024-11-04 19:15:03.969517,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3195,2145,139525640,3031441876
2024-11-04 19:15:03.969753,66,10.5.1.30,9001,10.5.1.11,42168,TCP,2145,3731,3031441876,139525640
2024-11-04 19:15:04.536119,602,10.5.1.11,42168,10.5.1.30,9001,TCP,3731,2145,139526207,3031441876
2024-11-04 19:15:04.536121,602,10.5.1.21,54580,10.5.1.30,9001,TCP,3753,3195,1846086225,3522936398
