Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:30:06.801731,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005663404,2445248475
2024-11-04 12:30:06.802009,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445250160,3005663404
2024-11-04 12:30:06.802244,74,10.5.1.30,51054,103.41.167.234,80,TCP,0,0,2703172570,0
2024-11-04 12:30:07.004150,74,103.41.167.234,80,10.5.1.30,51054,TCP,0,1,,
2024-11-04 12:30:07.004533,54,10.5.1.30,51054,103.41.167.234,80,TCP,1,1,,
2024-11-04 12:30:07.004753,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,537,2445250363,3005663404
2024-11-04 12:30:07.006388,602,10.5.1.20,43840,10.5.1.30,9001,TCP,1,1,1997254487,3730014454
2024-11-04 12:30:07.006714,66,10.5.1.30,9001,10.5.1.20,43840,TCP,1,537,3730043384,1997254487
2024-11-04 12:30:07.007641,602,10.5.1.12,57406,10.5.1.30,9001,TCP,537,537,3005663610,2445250363
2024-11-04 12:30:07.008080,66,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445250366,3005663610
2024-11-04 12:30:07.008384,127,10.5.1.30,51054,103.41.167.234,80,TCP,1,1,,
2024-11-04 12:30:07.209098,54,103.41.167.234,80,10.5.1.30,51054,TCP,1,74,,
2024-11-04 12:30:07.216686,672,103.41.167.234,80,10.5.1.30,51054,TCP,1,74,,
2024-11-04 12:30:07.217067,54,10.5.1.30,51054,103.41.167.234,80,TCP,74,619,,
2024-11-04 12:30:07.217440,1116,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1073,2445250575,3005663610
2024-11-04 12:30:07.220181,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1073,1587,3005663822,2445250575
2024-11-04 12:30:07.220626,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1587,1609,2445250579,3005663822
2024-11-04 12:30:07.220931,54,10.5.1.30,51054,103.41.167.234,80,TCP,74,619,,
2024-11-04 12:30:07.421589,54,103.41.167.234,80,10.5.1.30,51054,TCP,619,75,,
2024-11-04 12:30:07.421971,54,10.5.1.30,51054,103.41.167.234,80,TCP,75,620,,
2024-11-04 12:30:07.550967,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,361991096,2477164169
2024-11-04 12:30:07.551047,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134730785,3961781776
2024-11-04 12:30:07.551331,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477165638,361991096
2024-11-04 12:30:07.551406,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961783160,3134730785
2024-11-04 12:30:07.552363,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,1,361991097,2477165638
2024-11-04 12:30:07.552560,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1073,2477165640,361991097
2024-11-04 12:30:07.555103,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,1,3134730789,3961783160
2024-11-04 12:30:07.555438,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,1073,3961783164,3134730789
2024-11-04 12:30:07.560961,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4287306511,586450343
