Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 17:50:42.901038,602,10.5.1.21,54580,10.5.1.30,9001,TCP,1,1,1841024590,3517865119
2024-11-04 17:50:42.901222,66,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517875397,1841024590
2024-11-04 17:50:42.901371,74,10.5.1.30,42470,145.239.9.15,80,TCP,0,0,2709877987,0
2024-11-04 17:50:42.945363,74,145.239.9.15,80,10.5.1.30,42470,TCP,0,1,4056337340,2709877987
2024-11-04 17:50:42.945621,66,10.5.1.30,42470,145.239.9.15,80,TCP,1,1,2709878031,4056337340
2024-11-04 17:50:42.945752,602,10.5.1.30,9001,10.5.1.21,54580,TCP,1,537,3517875441,1841024590
2024-11-04 17:50:42.950195,602,10.5.1.21,54580,10.5.1.30,9001,TCP,537,537,1841024639,3517875441
2024-11-04 17:50:42.950392,66,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517875446,1841024639
2024-11-04 17:50:42.950552,144,10.5.1.30,42470,145.239.9.15,80,TCP,1,1,2709878036,4056337340
2024-11-04 17:50:42.992679,66,145.239.9.15,80,10.5.1.30,42470,TCP,1,79,4056337352,2709878036
2024-11-04 17:50:42.995674,1494,145.239.9.15,80,10.5.1.30,42470,TCP,1,79,4056337352,2709878036
2024-11-04 17:50:42.995900,66,10.5.1.30,42470,145.239.9.15,80,TCP,79,1429,2709878082,4056337352
2024-11-04 17:50:42.996033,3658,145.239.9.15,80,10.5.1.30,42470,TCP,1429,79,4056337352,2709878036
2024-11-04 17:50:42.996357,66,10.5.1.30,42470,145.239.9.15,80,TCP,79,5021,2709878082,4056337352
2024-11-04 17:50:42.996588,4136,10.5.1.30,9001,10.5.1.21,54580,TCP,537,1073,3517875492,1841024639
2024-11-04 17:50:42.996909,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,4607,1841024686,3517875492
2024-11-04 17:50:42.997037,1694,10.5.1.30,9001,10.5.1.21,54580,TCP,4607,1073,3517875493,1841024686
2024-11-04 17:50:42.997235,66,10.5.1.21,54580,10.5.1.30,9001,TCP,1073,6235,1841024686,3517875493
