Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 12:28:00.325169,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1,1,3134603559,3961635050
2024-11-04 12:28:00.325613,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961655935,3134603559
2024-11-04 12:28:00.325962,74,10.5.1.30,44518,110.43.213.6,80,TCP,0,0,1782805060,0
2024-11-04 12:28:00.513414,66,110.43.213.6,80,10.5.1.30,44518,TCP,0,1,,
2024-11-04 12:28:00.513745,54,10.5.1.30,44518,110.43.213.6,80,TCP,1,1,,
2024-11-04 12:28:00.513847,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1,537,3961656123,3134603559
2024-11-04 12:28:00.518003,602,10.5.1.11,34324,10.5.1.30,9001,TCP,537,537,3134603752,3961656123
2024-11-04 12:28:00.518456,66,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961656127,3134603752
2024-11-04 12:28:00.518838,128,10.5.1.30,44518,110.43.213.6,80,TCP,1,1,,
2024-11-04 12:28:00.705895,181,110.43.213.6,80,10.5.1.30,44518,TCP,1,75,,
2024-11-04 12:28:00.706288,54,10.5.1.30,44518,110.43.213.6,80,TCP,75,129,,
2024-11-04 12:28:00.706500,1116,10.5.1.30,9001,10.5.1.11,34324,TCP,537,1073,3961656315,3134603752
2024-11-04 12:28:00.747595,66,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,1587,3134603982,3961656315
2024-11-04 12:28:00.893336,54,110.43.213.6,80,10.5.1.30,44518,TCP,129,76,,
2024-11-04 12:28:01.926399,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1073,1587,3134605160,3961656315
2024-11-04 12:28:01.926434,602,10.5.1.10,33616,10.5.1.30,9001,TCP,1,1,361865471,2477012091
2024-11-04 12:28:01.926728,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,537,2477040014,361865471
2024-11-04 12:28:01.926728,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1587,1609,3961657536,3134605160
2024-11-04 12:28:01.932532,602,10.5.1.11,34324,10.5.1.30,9001,TCP,1609,1587,3134605166,3961657536
2024-11-04 12:28:01.932606,602,10.5.1.10,33616,10.5.1.30,9001,TCP,537,1,361865478,2477040014
2024-11-04 12:28:01.932927,66,10.5.1.30,9001,10.5.1.10,33616,TCP,1,1073,2477040020,361865478
2024-11-04 12:28:01.932927,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1587,2145,3961657542,3134605166
2024-11-04 12:28:01.939270,602,10.5.1.11,34324,10.5.1.30,9001,TCP,2145,1587,3134605173,3961657542
2024-11-04 12:28:01.939534,66,10.5.1.30,9001,10.5.1.11,34324,TCP,1587,2681,3961657549,3134605173
2024-11-04 12:28:01.940344,602,10.5.1.30,9001,10.5.1.11,34324,TCP,1587,2681,3961657549,3134605173
2024-11-04 12:28:01.940737,66,10.5.1.11,34324,10.5.1.30,9001,TCP,2681,2123,3134605175,3961657549
2024-11-04 12:28:01.941426,1116,10.5.1.12,57406,10.5.1.30,9001,TCP,1,1,3005538543,2445094265
2024-11-04 12:28:01.941601,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1,1051,2445125300,3005538543
2024-11-04 12:28:01.942193,602,10.5.1.30,9001,10.5.1.12,57406,TCP,1,1051,2445125300,3005538543
2024-11-04 12:28:01.951070,602,10.5.1.11,34324,10.5.1.30,9001,TCP,2681,2123,3134605185,3961657549
2024-11-04 12:28:01.951311,602,10.5.1.30,9001,10.5.1.11,34324,TCP,2123,3217,3961657560,3134605185
2024-11-04 12:28:01.954565,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1051,537,3005538557,2445125300
2024-11-04 12:28:01.955037,602,10.5.1.30,9001,10.5.1.12,57406,TCP,537,1587,2445125313,3005538557
2024-11-04 12:28:01.964109,602,10.5.1.11,34324,10.5.1.30,9001,TCP,3217,2659,3134605198,3961657560
2024-11-04 12:28:01.968386,602,10.5.1.12,57406,10.5.1.30,9001,TCP,1587,1073,3005538570,2445125313
2024-11-04 12:28:02.007303,66,10.5.1.30,9001,10.5.1.11,34324,TCP,2659,3753,3961657616,3134605198
2024-11-04 12:28:02.010624,66,10.5.1.30,9001,10.5.1.12,57406,TCP,1073,2123,2445125369,3005538570
2024-11-04 12:28:02.953222,602,10.5.1.22,52376,10.5.1.30,9001,TCP,1,1,1185499086,1186010585
2024-11-04 12:28:02.953720,66,10.5.1.30,9001,10.5.1.22,52376,TCP,1,537,1186039538,1185499086
2024-11-04 12:28:02.967479,602,10.5.1.21,39736,10.5.1.30,9001,TCP,1,1,4287181917,586298191
2024-11-04 12:28:02.967856,66,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,586327157,4287181917
2024-11-04 12:28:02.968503,602,10.5.1.30,9001,10.5.1.21,39736,TCP,1,537,586327157,4287181917
2024-11-04 12:28:02.978168,602,10.5.1.21,39736,10.5.1.30,9001,TCP,537,537,4287181928,586327157
