Timestamp,Size,Source IP,Source Port,Destination IP,Destination Port,Protocol,Sequence Number,Acknowledgment Number,TSval,TSecr
2024-11-04 18:38:45.783172,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1,1,3449020347,4091734532
2024-11-04 18:38:45.783447,66,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091744951,3449020347
2024-11-04 18:38:45.783635,74,10.5.1.30,35494,23.227.38.65,80,TCP,0,0,1001956529,0
2024-11-04 18:38:45.914414,74,23.227.38.65,80,10.5.1.30,35494,TCP,0,1,1970383578,1001956529
2024-11-04 18:38:45.914729,66,10.5.1.30,35494,23.227.38.65,80,TCP,1,1,1001956660,1970383578
2024-11-04 18:38:45.914867,602,10.5.1.30,9001,10.5.1.10,42922,TCP,1,537,4091745083,3449020347
2024-11-04 18:38:45.920481,602,10.5.1.10,42922,10.5.1.30,9001,TCP,537,537,3449020484,4091745083
2024-11-04 18:38:45.920769,66,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091745088,3449020484
2024-11-04 18:38:45.920919,140,10.5.1.30,35494,23.227.38.65,80,TCP,1,1,1001956667,1970383578
2024-11-04 18:38:46.034246,66,23.227.38.65,80,10.5.1.30,35494,TCP,1,75,1970383718,1001956667
2024-11-04 18:38:46.089533,1478,23.227.38.65,80,10.5.1.30,35494,TCP,1,75,1970383839,1001956667
2024-11-04 18:38:46.090041,66,10.5.1.30,35494,23.227.38.65,80,TCP,75,1413,1001956836,1970383839
2024-11-04 18:38:46.090311,1630,10.5.1.30,9001,10.5.1.10,42922,TCP,537,1073,4091745258,3449020484
2024-11-04 18:38:46.090729,66,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,2101,3449020654,4091745258
2024-11-04 18:38:46.093525,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1073,2101,3449020657,4091745258
2024-11-04 18:38:46.093814,66,10.5.1.30,9001,10.5.1.10,42922,TCP,2101,1609,4091745262,3449020657
2024-11-04 18:38:46.094036,66,10.5.1.30,35494,23.227.38.65,80,TCP,75,1413,1001956840,1970383839
2024-11-04 18:38:46.142698,66,23.227.38.65,80,10.5.1.30,35494,TCP,1413,76,1970383884,1001956840
2024-11-04 18:38:46.143043,66,10.5.1.30,35494,23.227.38.65,80,TCP,76,1414,1001956889,1970383884
2024-11-04 18:38:53.067126,602,10.5.1.23,40268,10.5.1.30,9001,TCP,1,1,2194009255,2657755224
2024-11-04 18:38:53.067318,602,10.5.1.10,42922,10.5.1.30,9001,TCP,1609,2101,3449027631,4091745262
